order,occurence,word,
1,4913,the,
2,2900,of,
3,2804,and,
4,2202,to,
5,2069,a,
6,1702,in,
7,1101,is,
8,1048,that,
9,896,it,
10,770,for,
11,711,s,
12,675,i,
13,633,on,
14,596,with,
15,593,as,
16,589,architecture,
17,548,this,
18,500,was,
19,495,you,
20,461,be,
21,435,by,
22,427,are,
23,421,we,
24,402,an,
25,387,or,
26,385,from,
27,360,at,
28,355,but,
29,321,not,
30,319,have,
31,260,has,
32,260,which,
33,249,they,
34,245,design,
35,244,more,
36,239,one,
37,238,new,
38,237,can,
39,232,its,
40,227,what,
41,217,their,
42,215,there,
43,208,like,
44,205,so,
45,204,all,
46,196,were,
47,190,building,
48,185,my,
49,172,art,
50,168,about,
51,168,t,
52,167,our,
53,165,work,
54,164,his,
55,160,if,
56,155,also,
57,155,into,
58,150,how,
59,150,time,
60,148,architectural,
61,148,will,
62,142,do,
63,142,your,
64,141,space,
65,141,these,
66,141,when,
67,139,architect,
68,139,been,
69,139,up,
70,136,other,
71,136,out,
72,133,many,
73,132,had,
74,132,he,
75,132,people,
76,132,some,
77,131,way,
78,130,just,
79,128,would,
80,126,architects,
81,120,re,
82,116,them,
83,114,very,
84,114,world,
85,112,where,
86,111,city,
87,111,most,
88,106,buildings,
89,106,house,
90,106,than,
91,103,because,
92,103,even,
93,102,between,
94,102,through,
95,101,project,
96,99,public,
97,99,who,
98,94,could,
99,94,form,
100,94,use,
101,93,no,
102,92,only,
103,90,make,
104,89,first,
105,89,then,
106,87,years,
107,86,experience,
108,84,built,
109,81,me,
110,81,really,
111,81,should,
112,81,ve,
113,80,us,
114,79,great,
115,78,get,
116,78,such,
117,77,need,
118,77,over,
119,76,much,
120,76,own,
121,75,any,
122,75,de,
123,74,akron,
124,74,d,
125,73,around,
126,72,being,
127,72,two,
128,71,both,
129,71,go,
130,70,don,
131,70,light,
132,70,old,
133,70,projects,
134,70,think,
135,70,used,
136,69,good,
137,69,still,
138,69,things,
139,69,well,
140,68,made,
141,68,see,
142,68,spaces,
143,68,style,
144,66,every,
145,66,life,
146,64,always,
147,64,now,
148,63,idea,
149,63,london,
150,63,school,
151,63,structure,
152,63,today,
153,62,here,
154,62,history,
155,61,something,
156,60,build,
157,60,forms,
158,60,less,
159,60,part,
160,60,those,
161,59,m,
162,58,designed,
163,58,know,
164,58,nature,
165,57,firm,
166,56,based,
167,56,each,
168,56,social,
169,54,after,
170,54,arts,
171,54,library,
172,54,street,
173,54,while,
174,53,back,
175,53,look,
176,53,lot,
177,53,modern,
178,53,small,
179,52,create,
180,51,amp,
181,51,main,
182,51,might,
183,51,past,
184,51,using,
185,50,before,
186,50,com,
187,50,few,
188,50,year,
189,49,creative,
190,49,did,
191,49,future,
192,49,real,
193,49,want,
194,48,become,
195,48,going,
196,48,often,
197,47,does,
198,47,find,
199,47,la,
200,47,ll,
201,47,post,
202,47,urban,
203,47,york,
204,46,data,
205,46,different,
206,46,long,
207,46,structures,
208,46,take,
209,46,working,
210,45,come,
211,45,home,
212,45,http,
213,45,little,
214,45,thing,
215,45,without,
216,44,application,
217,44,artists,
218,44,environment,
219,44,place,
220,44,right,
221,44,same,
222,44,within,
223,43,clients,
224,43,construction,
225,43,may,
226,43,rather,
227,43,reality,
228,42,big,
229,42,feel,
230,42,making,
231,42,open,
232,42,quite,
233,42,too,
234,41,practice,
235,40,able,
236,40,became,
237,40,change,
238,40,human,
239,40,important,
240,40,large,
241,40,room,
242,40,seen,
243,40,system,
244,40,why,
245,39,away,
246,39,beauty,
247,39,kind,
248,39,living,
249,39,process,
250,39,technology,
251,38,century,
252,38,day,
253,38,having,
254,38,itself,
255,38,natural,
256,38,point,
257,37,best,
258,37,end,
259,37,image,
260,37,must,
261,37,office,
262,37,say,
263,37,value,
264,36,center,
265,36,concept,
266,36,during,
267,36,historic,
268,36,material,
269,36,said,
270,36,south,
271,36,support,
272,36,taste,
273,36,walls,
274,35,across,
275,35,almost,
276,35,another,
277,35,app,
278,35,example,
279,35,let,
280,35,once,
281,35,photography,
282,35,th,
283,34,artist,
284,34,better,
285,34,down,
286,34,le,
287,34,left,
288,34,physical,
289,34,published,
290,34,site,
291,34,tower,
292,34,university,
293,33,commercial,
294,33,development,
295,33,digital,
296,33,doing,
297,33,give,
298,33,help,
299,33,images,
300,33,level,
301,33,materials,
302,33,never,
303,33,period,
304,33,read,
305,33,scale,
306,33,three,
307,33,unique,
308,32,actually,
309,32,already,
310,32,approach,
311,32,below,
312,32,created,
313,32,des,
314,32,follow,
315,32,mind,
316,32,order,
317,32,thought,
318,32,user,
319,32,virtual,
320,32,ways,
321,32,yet,
322,31,concrete,
323,31,designs,
324,31,houses,
325,31,next,
326,31,number,
327,31,traditional,
328,30,area,
329,30,business,
330,30,however,
331,30,ideas,
332,30,possible,
333,30,set,
334,30,start,
335,30,static,
336,29,blog,
337,29,contemporary,
338,29,designers,
339,29,gothic,
340,29,instead,
341,29,message,
342,29,off,
343,29,sense,
344,29,team,
345,29,works,
346,28,africa,
347,28,color,
348,28,detroit,
349,28,downtown,
350,28,early,
351,28,floor,
352,28,interior,
353,28,kahn,
354,28,l,
355,28,music,
356,28,park,
357,28,since,
358,28,started,
359,28,together,
360,28,understand,
361,28,visual,
362,27,beautiful,
363,27,designer,
364,27,elements,
365,27,fact,
366,27,found,
367,27,her,
368,27,looking,
369,27,prairie,
370,27,under,
371,26,am,
372,26,behind,
373,26,changes,
374,26,cities,
375,26,comes,
376,26,cultural,
377,26,easy,
378,26,eclectic,
379,26,hand,
380,26,high,
381,26,interesting,
382,26,man,
383,26,multiple,
384,26,original,
385,26,originally,
386,26,preservation,
387,26,simply,
388,26,thinking,
389,26,view,
390,26,war,
391,26,web,
392,25,abstract,
393,25,activity,
394,25,course,
